rank,business_name,telephone,business_page,street_address,locality,zipcode
1.0,Bonefish Grill,(614) 789-3474,https://www.yellowpages.com/dublin-oh/mip/bonefish-grill-2088535,"Restaurants, Seafood Restaurants, American Restaurants",https://locations.bonefishgrill.com/ohio/dublin/5712-frantz-road?y_source=1_MTU1MDI3OTAtNTUzLWxvY2F0aW9uLndlYnNpdGU%3D,43016
2.0,BJ's Restaurants,(614) 659-9400,https://www.yellowpages.com/dublin-oh/mip/bjs-restaurants-473824384,"Restaurants, American Restaurants, Pizza",http://www.bjsrestaurants.com/locations/oh/tuttle-crossing,43016
3.0,Morettis,(614) 763-6653,https://www.yellowpages.com/dublin-oh/mip/morettis-461917881?lid=210729017,"Restaurants, Seafood Restaurants, American Restaurants",http://www.morettiscolumbus.com,43017
4.0,Tucci's,(614) 792-3466,https://www.yellowpages.com/dublin-oh/mip/tuccis-3744914,"Restaurants, American Restaurants, Bars",https://tuccisdublin.com,43017
5.0,Ronin Restaurant,(614) 389-5866,https://www.yellowpages.com/dublin-oh/mip/ronin-restaurant-465117377,"Restaurants, Family Style Restaurants",http://roninsushioh.com,43017
6.0,Noodles & Company,(614) 210-8240,https://www.yellowpages.com/dublin-oh/mip/noodles-company-5471090,"Restaurants, Asian Restaurants",https://locations.noodles.com/oh/dublin/6104-parkcenter-cir.html,43017
7.0,T.G.I. Friday's,(614) 734-1474,https://www.yellowpages.com/dublin-oh/mip/t-g-i-fridays-10699791,"Restaurants, American Restaurants, Take Out Restaurants",http://www.tgifridays.com,43016
8.0,First Watch Restaurant,(614) 799-2774,https://www.yellowpages.com/dublin-oh/mip/first-watch-restaurant-1729236,"Restaurants, Breakfast, Brunch & Lunch Restaurants, American Restaurants",http://www.firstwatch.com,43017
9.0,Pei Wei,(614) 726-4190,https://www.yellowpages.com/dublin-oh/mip/pei-wei-3789637,"Restaurants, Asian Restaurants, Chinese Restaurants",http://www.peiwei.com,43016
10.0,Max & Erma's,(614) 889-8111,https://www.yellowpages.com/dublin-oh/mip/max-ermas-7399476,"Restaurants, American Restaurants, Family Style Restaurants",https://www.maxandermas.com/dublin,43017
11.0,P.F. Chang's,(614) 726-0070,https://www.yellowpages.com/dublin-oh/mip/p-f-changs-460660305,"Restaurants, Chinese Restaurants, Asian Restaurants",https://www.pfchangs.com/locations/us/oh/dublin/6135-parkcenter-circle/9933-dublin.html,43017
12.0,Nori Japan,(614) 717-9828,https://www.yellowpages.com/dublin-oh/mip/nori-japan-457361648,"Restaurants, Japanese Restaurants",https://www.shoptuttlecrossing.com/store/Nori-Japan/2138989413,43016
13.0,UNO Pizzeria & Grill,(614) 793-8300,https://www.yellowpages.com/dublin-oh/mip/uno-pizzeria-grill-473782478,"Restaurants, Italian Restaurants, Take Out Restaurants",Not Available,43016
14.0,LongHorn Steakhouse,(614) 760-5560,https://www.yellowpages.com/dublin-oh/mip/longhorn-steakhouse-117431,"Restaurants, Steak Houses, Take Out Restaurants",http://www.longhornsteakhouse.com/specials/featured-flavors?cmpid=br:lh_ag:ie_ch:dry_ca:LHQ4BoldBone_dt:20170410_sn:yp_gt:oh-dublin-5091_pl:OtherLink_rd:1346,43017
15.0,Mezzo,(614) 889-6100,https://www.yellowpages.com/dublin-oh/mip/mezzo-464618056,"Restaurants, Italian Restaurants, American Restaurants",Not Available,43017
16.0,City Barbeque,(614) 538-1230,https://www.yellowpages.com/dublin-oh/mip/city-barbeque-467692894,"Restaurants, Barbecue Restaurants, Steak Houses",http://www.citybbq.com,43017
17.0,Shi Chi Japanese Steakhouse,(614) 789-4400,https://www.yellowpages.com/dublin-oh/mip/shi-chi-japanese-steakhouse-6631204,"Restaurants, Japanese Restaurants, Take Out Restaurants",http://www.shichidublin.com,43017
18.0,Vincenzo's Convenient Elegance,(614) 792-1010,https://www.yellowpages.com/dublin-oh/mip/vincenzos-convenient-elegance-8216912,"Restaurants, Italian Restaurants, Gourmet Shops",https://www.italianmarketdublinoh.com,43017
19.0,Urban Meyer's Pint House,(614) 389-7856,https://www.yellowpages.com/dublin-oh/mip/urban-meyers-pint-house-551300749,"Restaurants, American Restaurants, Bars",https://urbanspinthouse.com,43017
20.0,Fukuryu Ramen,(614) 553-7392,https://www.yellowpages.com/dublin-oh/mip/fukuryu-ramen-541002099,"Restaurants, Japanese Restaurants, Take Out Restaurants",http://www.fukuryuramen.com,43017
21.0,LaRosa's Pizza Dublin,(888) 527-6727,https://www.yellowpages.com/dublin-oh/mip/larosas-pizza-dublin-503153407,"Restaurants, Italian Restaurants, Pizza",https://www.larosas.com/locations/dublin,43016
22.0,Ted's Montana Grill,(614) 760-7753,https://www.yellowpages.com/dublin-oh/mip/teds-montana-grill-6743383,"Restaurants, American Restaurants",http://www.tedsmontanagrill.com,43017
23.0,Romano's Macaroni Grill,(614) 792-3676,https://www.yellowpages.com/dublin-oh/mip/romanos-macaroni-grill-482342007,"Restaurants, Italian Restaurants",http://www.macaronigrill.com,43017
24.0,Our Cupcakery,(614) 659-1555,https://www.yellowpages.com/dublin-oh/mip/our-cupcakery-453080540,"Restaurants, American Restaurants, Party & Event Planners",https://www.ourcupcakery.com,43017
25.0,The Pearl,(614) 695-6255,https://www.yellowpages.com/dublin-oh/mip/the-pearl-554658929,"Restaurants, American Restaurants, Seafood Restaurants",https://thepearlrestaurant.com,43017
26.0,The Avenue Steak Tavern,(614) 591-9000,https://www.yellowpages.com/dublin-oh/mip/the-avenue-steak-tavern-545278957,"Restaurants, Steak Houses, American Restaurants",https://theavenuesteaktavern.com/locations-menus/dublin,43017
27.0,Condado Tacos,(614) 389-0097,https://www.yellowpages.com/dublin-oh/mip/condado-tacos-548450626,"Restaurants, Mexican Restaurants, Bars",https://locations.condadotacos.com/oh/102-n-high-st,43017
28.0,Weenie Wonder,(614) 721-3800,https://www.yellowpages.com/dublin-oh/mip/weenie-wonder-566994181,"Restaurants, Take Out Restaurants, American Restaurants",https://www.weeniewonder.com/locations/dublin,43017
29.0,Zee Cucina,(614) 916-9200,https://www.yellowpages.com/dublin-oh/mip/zee-cucina-548473003,"Restaurants, Italian Restaurants, Bars",http://www.zcucina.com,43017
30.0,Rebol,(614) 389-4751,https://www.yellowpages.com/dublin-oh/mip/rebol-550525438,"Restaurants, American Restaurants, Health Food Restaurants",http://www.wearerebol.com,43017
